CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1049241,15000098091,201598091,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/26/2015 09:44:00 AM,14XX BLOCK OF 3 AV,M,M3,8100.2013,-122.337338747,47.609252981,"(47.609252981, -122.337338747)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/26/2015 08:39:00 AM
2038133,14000179589,2014179589,141,LEWD CONDUCT,LIQUOR VIOLATIONS,LEWD CONDUCT,06/06/2014 08:52:00 PM,116XX BLOCK OF AURORA AV N,N,N1,600.3005,-122.344834271,47.713547979,"(47.713547979, -122.344834271)","LEWD - (EXPOSING, FLASHING, URINATING IN PUB)",LEWD CONDUCT,SUSPICIOUS CIRCUMSTANCES,
487744,11000363855,2011363855,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,11/08/2011 05:03:00 PM,14XX BLOCK OF N NORTHGATE WAY,N,N3,1300.1005,-122.339980154,47.705044852,"(47.705044852, -122.339980154)",,,,
61696,10000313041,2010313041,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,09/07/2010 06:18:00 AM,120XX BLOCK OF GREENWOOD AVE N,B,B1,402.4005,-122.355527227,47.716880079,"(47.716880079, -122.355527227)",,,,
141223,10000434215,2010434215,162,TRESPASS - PARKS EXCLUSION,PARKS EXCLUSIONS,TRESPASS,12/17/2010 08:55:00 PM,4XX BLOCK OF 3RD AVE,K,K2,8100.2041,-122.330510335,47.601885902,"(47.601885902, -122.330510335)",,,,
43535,10000286767,2010286767,161,TRESPASS ,TRESPASS,TRESPASS,08/17/2010 05:01:00 AM,125XX BLOCK OF LAKE CITY WAY NE,L,L1,100.3012,-122.29469691,47.720185075,"(47.720185075, -122.29469691)",,,,
1282104,13000011122,201311122,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,01/10/2013 01:06:00 PM,6TH AV S / S MICHIGAN ST,NULL,W1,NULL,-122.326154653,47.546248799,"(47.546248799, -122.326154653)",,,,
1568303,15000344170,2015344170,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/02/2015 04:05:00 AM,3XX BLOCK OF BROAD ST,Q,Q3,7200.1079,-122.349606733,47.619162681,"(47.619162681, -122.349606733)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1138439,15000225310,2015225310,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,07/03/2015 03:49:00 AM,NE 55 ST / 25 AV NE,U,U1,4301.3017,-122.30062193,47.668522993,"(47.668522993, -122.30062193)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
1000307,12000432972,2012432972,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/20/2012 12:06:00 AM,12XX BLOCK OF QUEEN ANNE AVE N,Q,Q3,7000.1016,-122.356615683,47.630005584,"(47.630005584, -122.356615683)",,,,
784783,12000125682,2012125682,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,04/24/2012 11:11:00 PM,4XX BLOCK OF MINOR AVE N,D,D2,7300.1010,-122.332996531,47.622544756,"(47.622544756, -122.332996531)",,,,
1239580,15000232833,2015232833,203,ALARMS - RESIDENTIAL PANIC (FALSE),PANIC ALARMS (FALSE),FALSE ALARMS,07/08/2015 08:39:00 AM,47XX BLOCK OF 30 AV S,R,R1,10401.1001,-122.293673503,47.56010308,"(47.56010308, -122.293673503)",ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,ALARMS,SUSPICIOUS CIRCUMSTANCES,07/08/2015 07:41:00 AM
112787,10000388283,2010388283,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,11/06/2010 03:46:00 PM,17XX BLOCK OF NW MARKET ST,B,B2,4700.3014,-122.379618548,47.668672119,"(47.668672119, -122.379618548)",,,,
460227,11000329926,2011329926,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/07/2011 09:29:00 PM,23 AV S / S DEARBORN ST,G,G2,9000.1006,-122.302225739,47.595568198,"(47.595568198, -122.302225739)",,,,
1573588,15000350513,2015350513,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",10/07/2015 11:06:00 AM,36XX BLOCK OF THORNDYKE AV W,Q,Q1,5801.4043,-122.377274509,47.652676521,"(47.652676521, -122.377274509)",ILLEGAL DUMPING,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,10/07/2015 09:18:00 AM
1672095,16000052438,201652438,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,02/12/2016 09:59:33 PM,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
664066,11000093557,201193557,192,MISDEMEANOR WARRANT SERVICE,WARRANT CALLS,ARREST,03/22/2011 09:40:00 PM,91XX BLOCK OF 15TH AVE NE,U,U1,2000.3004,-122.312653258,47.725977941,"(47.725977941, -122.312653258)",,,,
1946774,17000073917,201773917,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/01/2017 11:54:26 AM,VALLEY ST / FAIRVIEW AV N,D,D3,6600.1038,-122.33435,47.625965,"(47.625965, -122.33435)",TRU - THEFT,OTHER PROPERTY,THEFT,03/01/2017 11:19:43 AM
1305213,13000039684,201339684,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,02/04/2013 11:16:00 AM,12 AV S / S JACKSON ST,E,E3,9100.1002,-122.317226088,47.599187636,"(47.599187636, -122.317226088)",,,,
2187505,14000360247,2014360247,,,,,,17XX BLOCK OF S DEARBORN ST,G,G2,9000.2010,-122.309587724,47.595872593,"(47.595872593, -122.309587724)",AUTO RECOVERY,AUTO THEFTS,AUTO RECOVERIES,10/27/2014 07:10:00 PM
1125195,15000206153,2015206153,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,06/19/2015 09:25:00 AM,14XX BLOCK OF S CLOVERDALE ST,F,F3,11200.3010,-122.313903084,47.526437906,"(47.526437906, -122.313903084)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1922825,17000027774,201727774,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,01/23/2017 07:34:55 PM,1 AV N / JOHN ST,Q,Q3,7100.2017,-122.355446,47.619766,"(47.619766, -122.355446)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,01/23/2017 06:48:07 PM
104802,10000376658,2010376658,243,JUVENILE DISTURBANCE,DISTURBANCES,DISTURBANCES,10/28/2010 03:24:00 PM,98XX BLOCK OF 43RD PL NE,L,L3,2200.1018,-122.28240856,47.700661652,"(47.700661652, -122.28240856)",,,,
1506460,15000268873,2015268873,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/04/2015 05:12:00 PM,9XX BLOCK OF 13 AV,E,E2,8600.1003,-122.315437045,47.610973532,"(47.610973532, -122.315437045)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1037367,15000080860,201580860,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/11/2015 08:53:00 PM,25XX BLOCK OF AURORA AV N,D,D2,6000.1015,-122.346642846,47.641419741,"(47.641419741, -122.346642846)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
958584,12000386920,2012386920,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",11/11/2012 05:58:00 AM,37XX BLOCK OF 32ND AVE W,Q,Q1,5700.6012,-122.398237832,47.653156656,"(47.653156656, -122.398237832)",,,,
40333,10000282061,2010282061,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,08/13/2010 03:28:00 PM,50XX BLOCK OF 20TH AVE NE,U,U2,4300.4003,-122.30650234,47.665640161,"(47.665640161, -122.30650234)",,,,
1299987,13000033216,201333216,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,01/29/2013 07:10:00 PM,UNIVERSITY BR / SB,U,U2,5200.2003,-122.318311994,47.656711569,"(47.656711569, -122.318311994)",,,,
821739,12000181023,2012181023,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,06/10/2012 03:05:00 PM,7XX BLOCK OF N 85TH ST,N,N2,1800.2013,-122.34855953,47.690574893,"(47.690574893, -122.34855953)",,,,
840815,12000211248,2012211248,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,07/03/2012 11:51:00 PM,67XX BLOCK OF 38TH AVE SW,W,W3,10600.2010,-122.380562315,47.542095883,"(47.542095883, -122.380562315)",,,,
1741598,16000176417,2016176417,260,"ANIMALS - INJURED, DEAD, DANGEROUS",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,05/20/2016 12:26:23 PM,SW TRENTON ST / 25 AV SW,F,F2,11402.1011,-122.36453,47.52468,"(47.52468, -122.36453)","ANIMAL - INJURED, DEAD HAZARD",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,
38714,10000279707,2010279707,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,08/11/2010 07:44:00 PM,73XX BLOCK OF WINONA AVE N,J,J1,2800.2012,-122.344721427,47.682669164,"(47.682669164, -122.344721427)",,,,
692750,11000404623,2011404623,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/18/2011 04:24:00 AM,54XX BLOCK OF 30TH AVE S,R,R2,10400.2003,-122.293884305,47.553052926,"(47.553052926, -122.293884305)",,,,
1756990,16000203142,2016203142,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,06/08/2016 03:33:52 PM,3 AV W / W THOMAS ST,Q,Q3,7100.1011,-122.36066,47.620956,"(47.620956, -122.36066)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,06/08/2016 11:26:31 AM
1291543,13000022999,201322999,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,01/20/2013 06:46:00 PM,DENNY WY / WARREN PL,M,M1,7100.2018,-122.354149116,47.618596162,"(47.618596162, -122.354149116)",,,,
560715,11000144167,2011144167,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/06/2011 04:48:00 AM,52XX BLOCK OF UNIVERSITY WAY NE,U,U3,4400.4000,-122.313034216,47.667491533,"(47.667491533, -122.313034216)",,,,
2203606,14000384832,2014384832,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,11/17/2014 11:19:00 AM,15XX BLOCK OF 12 AV,C,C2,7500.4006,-122.316845009,47.614683849,"(47.614683849, -122.316845009)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,
968788,12000399675,2012399675,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,11/22/2012 01:40:00 AM,59XX BLOCK OF 20TH AVE NW,B,B2,4700.5000,-122.381616429,47.693176068,"(47.693176068, -122.381616429)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,11/21/2012 10:04:00 PM
1025915,15000064337,201564337,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,02/25/2015 09:14:00 PM,5XX BLOCK OF 16 AV,G,G2,8700.1022,-122.31154783,47.607109046,"(47.607109046, -122.31154783)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,
918899,12000336134,2012336134,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10/02/2012 10:55:00 AM,15 AV W / W DRAVUS ST,Q,Q2,5801.4037,-122.376383401,47.648473006,"(47.648473006, -122.376383401)",,,,
2043187,14000186744,2014186744,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/12/2014 09:40:00 AM,17 AV SW / SW GRAHAM ST,F,F1,10800.2006,-122.355999601,47.546582229,"(47.546582229, -122.355999601)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1117015,15000194646,2015194646,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/10/2015 10:32:00 PM,23 AV E / E ALOHA ST,C,C2,6400.1019,-122.30238453,47.626759017,"(47.626759017, -122.30238453)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
124648,10000403015,2010403015,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,11/19/2010 02:38:00 AM,24XX BLOCK OF S ANGELINE ST,J,J3,5200.4009,-122.300945626,47.55980067,"(47.55980067, -122.300945626)",,,,
64027,10000316390,2010316390,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,09/09/2010 08:13:00 PM,48XX BLOCK OF SW BARTON ST,W,W3,11600.5013,-122.39308482,47.523163295,"(47.523163295, -122.39308482)",,,,
582336,15000035187,201535187,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,01/31/2015 10:24:00 AM,102XX BLOCK OF GREENWOOD AV N,J,J1,1701.3008,-122.355433797,47.703272313,"(47.703272313, -122.355433797)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1642002,16000000633,2016633,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",01/01/2016 03:57:36 PM,28XX BLOCK OF NE 127 ST,L,L1,200.2012,-122.29703,47.721096,"(47.721096, -122.29703)",PROPERTY - FOUND,"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",01/01/2016 02:53:56 PM
1721448,16000141255,2016141255,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,04/24/2016 12:56:40 AM,15XX BLOCK OF BOYLSTON AV,E,E2,8400.1006,-122.32341,47.61465,"(47.61465, -122.32341)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1685132,16000074928,201674928,171,PARKS EXCLUSION,PARKS EXCLUSIONS,MISCELLANEOUS MISDEMEANORS,03/02/2016 12:21:38 PM,16XX BLOCK OF 11 AV,E,E2,7500.5009,-122.31817,47.615837,"(47.615837, -122.31817)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1754088,16000198135,2016198135,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,06/05/2016 02:02:43 AM,N 128 ST / LINDEN AV N,N,N2,402.2003,-122.34833,47.72231,"(47.72231, -122.34833)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,
2090792,14000204051,2014204051,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",06/25/2014 08:38:00 PM,OCCIDENTAL AV S / S WASHINGTON ST,K,K3,9200.2014,-122.332878486,47.600879865,"(47.600879865, -122.332878486)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,06/25/2014 04:43:00 PM
2204265,14000385800,2014385800,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,11/18/2014 08:15:00 AM,S SPOKANE ST / S COLUMBIAN WY,O,O1,10000.4023,-122.314532166,47.571621784,"(47.571621784, -122.314532166)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1560288,15000334277,2015334277,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/24/2015 10:41:00 AM,75XX BLOCK OF E GREEN LAKE DR N,J,J3,2700.3016,-122.332424172,47.682672105,"(47.682672105, -122.332424172)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/24/2015 09:29:00 AM
1482508,15000240160,2015240160,350,HAZARDS,HAZARDS,HAZARDS,07/13/2015 08:52:00 PM,DEXTER AV N / 6 AV N,D,D2,6000.1015,-122.344398181,47.640324918,"(47.640324918, -122.344398181)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
1962883,17000104477,2017104477,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/25/2017 09:23:01 AM,3XX BLOCK OF BROADWAY E,E,E1,7401.2007,-122.3209,47.621532,"(47.621532, -122.3209)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
533895,11000104211,2011104211,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/01/2011 07:35:00 AM,70XX BLOCK OF RAINIER AVE S,R,R3,11102.4002,-122.270834379,47.539355384,"(47.539355384, -122.270834379)",,,,
1071090,15000128775,2015128775,,,,,,75XX BLOCK OF 12 AV NE,U,U1,2600.4014,-122.315293085,47.683992987,"(47.683992987, -122.315293085)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,04/20/2015 10:24:00 AM
75938,10000333820,2010333820,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/23/2010 11:55:00 PM,38XX BLOCK OF 14TH AVE W,Q,Q2,5801.4033,-122.374912273,47.654580716,"(47.654580716, -122.374912273)",,,,
1779954,16000242563,2016242563,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,07/07/2016 08:36:11 AM,XX BLOCK OF STEWART ST,M,M1,8002.1008,-122.34197,47.609783,"(47.609783, -122.34197)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
994495,12000426806,2012426806,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/14/2012 05:51:00 PM,15XX BLOCK OF 3RD AVE,K,K1,8100.2005,-122.338247307,47.610246301,"(47.610246301, -122.338247307)",,,,
1083811,15000146593,2015146593,161,TRESPASS,TRESPASS,TRESPASS,05/05/2015 10:00:00 AM,2XX BLOCK OF S BRANDON ST,O,O2,10900.2029,-122.331650918,47.554151883,"(47.554151883, -122.331650918)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
66949,10000320683,2010320683,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,09/13/2010 07:57:00 AM,107XX BLOCK OF 38TH AVE NE,L,L3,800.3007,-122.28810298,47.707444827,"(47.707444827, -122.28810298)",,,,
97301,10000365147,2010365147,030,ARMED ROBBERY,GUN CALLS,ROBBERY,10/19/2010 02:22:00 AM,5XX BLOCK OF MELROSE AVE E,E,E1,7400.7004,-122.327877262,47.623706373,"(47.623706373, -122.327877262)",,,,
1759451,16000207710,2016207710,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,06/11/2016 05:53:16 PM,3 AV / PIKE ST,M,M3,8100.2013,-122.33779,47.60975,"(47.60975, -122.33779)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,06/11/2016 03:51:28 PM
1625925,15000425217,2015425217,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/08/2015 01:59:28 AM,11XX BLOCK OF MADISON ST,E,E3,8300.1005,-122.324585,47.60957,"(47.60957, -122.324585)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/08/2015 12:49:13 AM
1108553,15000182383,2015182383,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/01/2015 11:57:00 PM,23XX BLOCK OF 42 AV SW,W,W1,9600.2011,-122.385137118,47.582089708,"(47.582089708, -122.385137118)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1503817,15000265662,2015265662,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,08/02/2015 03:45:00 AM,88XX BLOCK OF DELRIDGE WY SW,F,F2,11402.1004,-122.360484602,47.523995188,"(47.523995188, -122.360484602)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,08/02/2015 12:37:00 AM
1704395,16000108696,2016108696,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/29/2016 09:31:02 PM,3XX BLOCK OF 14 AV S,G,G2,9000.2013,-122.31413,47.59961,"(47.59961, -122.31413)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1890616,16000436074,2016436074,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/04/2016 09:21:09 AM,14XX BLOCK OF TAYLOR AV N,Q,Q2,6700.3014,-122.34627,47.631557,"(47.631557, -122.34627)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
2094308,14000210141,2014210141,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,06/30/2014 09:43:00 AM,SPRING ST / 9 AV,D,D3,8300.3003,-122.328015119,47.60912053,"(47.60912053, -122.328015119)",TRU - THEFT,OTHER PROPERTY,THEFT,
1781935,16000245976,2016245976,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,07/09/2016 06:34:10 PM,21XX BLOCK OF S WASHINGTON ST,G,G2,9000.1001,-122.304756,47.60083,"(47.60083, -122.304756)",FOUND - PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",
1805263,16000286258,2016286258,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,08/09/2016 12:29:32 AM,5XX BLOCK OF 3 AV,K,K2,8100.2043,-122.331085,47.602413,"(47.602413, -122.331085)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,08/08/2016 11:56:19 PM
1248489,11000041750,201141750,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,02/04/2011 01:17:00 PM,N 46 ST / FREMONT AV N,J,J2,4900.1006,-122.350036744,47.662133994,"(47.662133994, -122.350036744)",ACC - IP/JO - HIT AND RUN (NO KNOWN INJURIES),ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,02/04/2011 01:04:00 PM
2003759,17000180212,2017180212,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,05/22/2017 09:35:19 AM,FAUNTLEROY EXPRESSWAY / 35 AV SW,W,W2,9900.3008,-122.37618,47.565025,"(47.565025, -122.37618)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
474009,11000349923,2011349923,204,ALARMS - VEHICLE (FALSE),VEHICLE ALARMS (FALSE),FALSE ALARMS,10/27/2011 04:23:00 AM,60XX BLOCK OF CALIFORNIA AVE SW,W,W3,10600.6008,-122.387169568,47.547587172,"(47.547587172, -122.387169568)",,,,
1635013,15000439180,2015439180,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,12/19/2015 06:30:57 PM,73XX BLOCK OF DELRIDGE WY SW,F,F1,10701.2011,-122.3613,47.53604,"(47.53604, -122.3613)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,12/19/2015 04:55:55 PM
2101631,14000218894,2014218894,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,07/06/2014 03:07:00 PM,16XX BLOCK OF HARBOR AV SW,W,W1,9600.5000,-122.379821687,47.588293618,"(47.588293618, -122.379821687)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,07/06/2014 02:51:00 PM
1303285,13000037202,201337202,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,02/02/2013 02:05:00 AM,57 AV S / RAINIER AV S,S,S3,11800.1008,-122.261585053,47.520262194,"(47.520262194, -122.261585053)",,,,
1782715,16000246930,2016246930,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,07/10/2016 06:42:47 PM,18XX BLOCK OF QUEEN ANNE AV N,Q,Q2,6800.2012,-122.356964,47.63535,"(47.63535, -122.356964)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,07/10/2016 02:25:21 PM
1262803,12000436073,2012436073,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,12/22/2012 11:46:00 AM,2 AV / PIKE ST,K,K1,8100.2010,-122.338906798,47.60928404,"(47.60928404, -122.338906798)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,12/22/2012 11:36:00 AM
